Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 50***
Generation average: -0.92331, best fitness:  -0.81455
***Doing generation 2 of 50***
Generation average: -0.94310, best fitness:  -0.81455
***Doing generation 3 of 50***
Generation average: -0.94554, best fitness:  -0.81455
***Doing generation 4 of 50***
Generation average: -0.94557, best fitness:  -0.81455
***Doing generation 5 of 50***
Generation average: -0.94548, best fitness:  -0.81455
***Doing generation 6 of 50***
Generation average: -0.94563, best fitness:  -0.81455
***Doing generation 7 of 50***
Generation average: -0.94568, best fitness:  -0.81455
***Doing generation 8 of 50***
Generation average: -0.94578, best fitness:  -0.81455
***Doing generation 9 of 50***
Generation average: -0.94554, best fitness:  -0.81455
***Doing generation 10 of 50***
Generation average: -0.94577, best fitness:  -0.81455
***Doing generation 11 of 50***
Generation average: -0.94581, best fitness:  -0.81455
***Doing generation 12 of 50***
Generation average: -0.94564, best fitness:  -0.81455
***Doing generation 13 of 50***
Generation average: -0.94559, best fitness:  -0.81455
***Doing generation 14 of 50***
Generation average: -0.94568, best fitness:  -0.81455
***Doing generation 15 of 50***
Generation average: -0.94570, best fitness:  -0.81455
***Doing generation 16 of 50***
Generation average: -0.94560, best fitness:  -0.81455
***Doing generation 17 of 50***
Generation average: -0.94573, best fitness:  -0.81455
***Doing generation 18 of 50***
Generation average: -0.94572, best fitness:  -0.81455
***Doing generation 19 of 50***
Generation average: -0.94554, best fitness:  -0.81455
***Doing generation 20 of 50***
Generation average: -0.94566, best fitness:  -0.81455
***Doing generation 21 of 50***
Generation average: -0.94556, best fitness:  -0.81455
***Doing generation 22 of 50***
Generation average: -0.94569, best fitness:  -0.81455
***Doing generation 23 of 50***
Generation average: -0.94562, best fitness:  -0.81455
***Doing generation 24 of 50***
Generation average: -0.94560, best fitness:  -0.81455
***Doing generation 25 of 50***
Generation average: -0.94558, best fitness:  -0.81455
***Doing generation 26 of 50***
Generation average: -0.94561, best fitness:  -0.81455
***Doing generation 27 of 50***
Generation average: -0.94551, best fitness:  -0.81455
***Doing generation 28 of 50***
Generation average: -0.94553, best fitness:  -0.81455
***Doing generation 29 of 50***
Generation average: -0.94556, best fitness:  -0.81455
***Doing generation 30 of 50***
Generation average: -0.94558, best fitness:  -0.81455
***Doing generation 31 of 50***
Generation average: -0.94553, best fitness:  -0.81455
***Doing generation 32 of 50***
Generation average: -0.94563, best fitness:  -0.81455
***Doing generation 33 of 50***
Generation average: -0.94551, best fitness:  -0.81455
***Doing generation 34 of 50***
Generation average: -0.94549, best fitness:  -0.81455
***Doing generation 35 of 50***
Generation average: -0.94561, best fitness:  -0.81455
***Doing generation 36 of 50***
Generation average: -0.94556, best fitness:  -0.81455
***Doing generation 37 of 50***
Generation average: -0.94557, best fitness:  -0.81455
***Doing generation 38 of 50***
Generation average: -0.94549, best fitness:  -0.81455
***Doing generation 39 of 50***
Generation average: -0.94548, best fitness:  -0.81455
***Doing generation 40 of 50***
Generation average: -0.94554, best fitness:  -0.81455
***Doing generation 41 of 50***
Generation average: -0.94554, best fitness:  -0.81455
***Doing generation 42 of 50***
Generation average: -0.94547, best fitness:  -0.81455
***Doing generation 43 of 50***
Generation average: -0.94546, best fitness:  -0.81455
***Doing generation 44 of 50***
Generation average: -0.94542, best fitness:  -0.81455
***Doing generation 45 of 50***
Generation average: -0.94549, best fitness:  -0.81455
***Doing generation 46 of 50***
Generation average: -0.94545, best fitness:  -0.81455
***Doing generation 47 of 50***
Generation average: -0.94537, best fitness:  -0.81455
***Doing generation 48 of 50***
Generation average: -0.94546, best fitness:  -0.81455
***Doing generation 49 of 50***
Generation average: -0.94551, best fitness:  -0.81455
***Doing generation 50 of 50***
Generation average: -0.94547, best fitness:  -0.81455
