Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 400***
Generation average: -0.81651, best fitness:  -0.75282
***Doing generation 2 of 400***
Generation average: -0.80058, best fitness:  -0.73825
***Doing generation 3 of 400***
Generation average: -0.78458, best fitness:  -0.73825
***Doing generation 4 of 400***
Generation average: -0.77646, best fitness:  -0.72929
***Doing generation 5 of 400***
Generation average: -0.76321, best fitness:  -0.69182
***Doing generation 6 of 400***
Generation average: -0.75141, best fitness:  -0.69182
***Doing generation 7 of 400***
Generation average: -0.73364, best fitness:  -0.67958
***Doing generation 8 of 400***
Generation average: -0.71985, best fitness:  -0.65691
***Doing generation 9 of 400***
Generation average: -0.69909, best fitness:  -0.63690
***Doing generation 10 of 400***
Generation average: -0.68756, best fitness:  -0.61226
***Doing generation 11 of 400***
Generation average: -0.66889, best fitness:  -0.60572
***Doing generation 12 of 400***
Generation average: -0.64067, best fitness:  -0.55560
***Doing generation 13 of 400***
Generation average: -0.62035, best fitness:  -0.55560
***Doing generation 14 of 400***
Generation average: -0.60523, best fitness:  -0.55560
***Doing generation 15 of 400***
Generation average: -0.58964, best fitness:  -0.54229
***Doing generation 16 of 400***
Generation average: -0.58025, best fitness:  -0.51223
***Doing generation 17 of 400***
Generation average: -0.56360, best fitness:  -0.50469
***Doing generation 18 of 400***
Generation average: -0.55344, best fitness:  -0.50246
***Doing generation 19 of 400***
Generation average: -0.54029, best fitness:  -0.49459
***Doing generation 20 of 400***
Generation average: -0.52775, best fitness:  -0.46463
***Doing generation 21 of 400***
Generation average: -0.51576, best fitness:  -0.46463
***Doing generation 22 of 400***
Generation average: -0.50598, best fitness:  -0.46463
***Doing generation 23 of 400***
Generation average: -0.49825, best fitness:  -0.45544
***Doing generation 24 of 400***
Generation average: -0.48819, best fitness:  -0.45544
***Doing generation 25 of 400***
Generation average: -0.48174, best fitness:  -0.44993
***Doing generation 26 of 400***
Generation average: -0.47171, best fitness:  -0.43370
***Doing generation 27 of 400***
Generation average: -0.46170, best fitness:  -0.43370
***Doing generation 28 of 400***
Generation average: -0.45596, best fitness:  -0.43370
***Doing generation 29 of 400***
Generation average: -0.44750, best fitness:  -0.41228
***Doing generation 30 of 400***
Generation average: -0.44061, best fitness:  -0.41228
***Doing generation 31 of 400***
Generation average: -0.43384, best fitness:  -0.41150
***Doing generation 32 of 400***
Generation average: -0.42927, best fitness:  -0.40832
***Doing generation 33 of 400***
Generation average: -0.42313, best fitness:  -0.40561
***Doing generation 34 of 400***
Generation average: -0.41964, best fitness:  -0.40211
***Doing generation 35 of 400***
Generation average: -0.41580, best fitness:  -0.39560
***Doing generation 36 of 400***
Generation average: -0.41247, best fitness:  -0.39560
***Doing generation 37 of 400***
Generation average: -0.40853, best fitness:  -0.39342
***Doing generation 38 of 400***
Generation average: -0.40478, best fitness:  -0.39342
***Doing generation 39 of 400***
Generation average: -0.40239, best fitness:  -0.36938
***Doing generation 40 of 400***
Generation average: -0.39987, best fitness:  -0.36938
***Doing generation 41 of 400***
Generation average: -0.39763, best fitness:  -0.36938
***Doing generation 42 of 400***
Generation average: -0.39278, best fitness:  -0.35752
***Doing generation 43 of 400***
Generation average: -0.38815, best fitness:  -0.35489
***Doing generation 44 of 400***
Generation average: -0.38132, best fitness:  -0.34002
***Doing generation 45 of 400***
Generation average: -0.37019, best fitness:  -0.34002
***Doing generation 46 of 400***
Generation average: -0.35967, best fitness:  -0.34002
***Doing generation 47 of 400***
Generation average: -0.35536, best fitness:  -0.34002
***Doing generation 48 of 400***
Generation average: -0.35288, best fitness:  -0.34002
***Doing generation 49 of 400***
Generation average: -0.34834, best fitness:  -0.33809
***Doing generation 50 of 400***
Generation average: -0.34557, best fitness:  -0.33593
***Doing generation 51 of 400***
Generation average: -0.34168, best fitness:  -0.33548
***Doing generation 52 of 400***
Generation average: -0.33987, best fitness:  -0.33075
***Doing generation 53 of 400***
Generation average: -0.33746, best fitness:  -0.32996
***Doing generation 54 of 400***
Generation average: -0.33516, best fitness:  -0.32855
***Doing generation 55 of 400***
Generation average: -0.33384, best fitness:  -0.32694
***Doing generation 56 of 400***
Generation average: -0.33212, best fitness:  -0.32634
***Doing generation 57 of 400***
Generation average: -0.33069, best fitness:  -0.32452
***Doing generation 58 of 400***
Generation average: -0.32847, best fitness:  -0.31947
***Doing generation 59 of 400***
Generation average: -0.32765, best fitness:  -0.31906
***Doing generation 60 of 400***
Generation average: -0.32597, best fitness:  -0.31654
***Doing generation 61 of 400***
Generation average: -0.32447, best fitness:  -0.31654
***Doing generation 62 of 400***
Generation average: -0.32367, best fitness:  -0.31212
***Doing generation 63 of 400***
Generation average: -0.32141, best fitness:  -0.31212
***Doing generation 64 of 400***
Generation average: -0.31923, best fitness:  -0.31010
***Doing generation 65 of 400***
Generation average: -0.31681, best fitness:  -0.31010
***Doing generation 66 of 400***
Generation average: -0.31464, best fitness:  -0.30909
***Doing generation 67 of 400***
Generation average: -0.31279, best fitness:  -0.30740
***Doing generation 68 of 400***
Generation average: -0.31152, best fitness:  -0.30740
***Doing generation 69 of 400***
Generation average: -0.31030, best fitness:  -0.30673
***Doing generation 70 of 400***
Generation average: -0.31007, best fitness:  -0.30673
***Doing generation 71 of 400***
Generation average: -0.30916, best fitness:  -0.30436
***Doing generation 72 of 400***
Generation average: -0.30800, best fitness:  -0.30334
***Doing generation 73 of 400***
Generation average: -0.30751, best fitness:  -0.30334
***Doing generation 74 of 400***
Generation average: -0.30671, best fitness:  -0.30142
***Doing generation 75 of 400***
Generation average: -0.30589, best fitness:  -0.30142
***Doing generation 76 of 400***
Generation average: -0.30440, best fitness:  -0.30102
***Doing generation 77 of 400***
Generation average: -0.30353, best fitness:  -0.29956
***Doing generation 78 of 400***
Generation average: -0.30192, best fitness:  -0.29713
***Doing generation 79 of 400***
Generation average: -0.30139, best fitness:  -0.29713
***Doing generation 80 of 400***
Generation average: -0.30077, best fitness:  -0.29259
***Doing generation 81 of 400***
Generation average: -0.29979, best fitness:  -0.29126
***Doing generation 82 of 400***
Generation average: -0.29894, best fitness:  -0.28942
***Doing generation 83 of 400***
Generation average: -0.29826, best fitness:  -0.28942
***Doing generation 84 of 400***
Generation average: -0.29722, best fitness:  -0.28798
***Doing generation 85 of 400***
Generation average: -0.29485, best fitness:  -0.28643
***Doing generation 86 of 400***
Generation average: -0.29137, best fitness:  -0.28643
***Doing generation 87 of 400***
Generation average: -0.29025, best fitness:  -0.28501
***Doing generation 88 of 400***
Generation average: -0.28867, best fitness:  -0.28392
***Doing generation 89 of 400***
