Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 40***
Generation average: -0.65107, best fitness:  -0.55082
***Doing generation 2 of 40***
Generation average: -0.63083, best fitness:  -0.55082
***Doing generation 3 of 40***
Generation average: -0.61540, best fitness:  -0.54368
***Doing generation 4 of 40***
Generation average: -0.60168, best fitness:  -0.53075
***Doing generation 5 of 40***
Generation average: -0.59021, best fitness:  -0.50730
***Doing generation 6 of 40***
Generation average: -0.57962, best fitness:  -0.50324
***Doing generation 7 of 40***
Generation average: -0.56750, best fitness:  -0.49202
***Doing generation 8 of 40***
Generation average: -0.55649, best fitness:  -0.48503
***Doing generation 9 of 40***
Generation average: -0.54641, best fitness:  -0.46729
***Doing generation 10 of 40***
Generation average: -0.53563, best fitness:  -0.46729
***Doing generation 11 of 40***
Generation average: -0.52610, best fitness:  -0.46718
***Doing generation 12 of 40***
Generation average: -0.51823, best fitness:  -0.44234
***Doing generation 13 of 40***
Generation average: -0.51012, best fitness:  -0.44233
***Doing generation 14 of 40***
Generation average: -0.50107, best fitness:  -0.44233
***Doing generation 15 of 40***
Generation average: -0.49436, best fitness:  -0.44233
***Doing generation 16 of 40***
Generation average: -0.48604, best fitness:  -0.43090
***Doing generation 17 of 40***
Generation average: -0.48037, best fitness:  -0.43090
***Doing generation 18 of 40***
Generation average: -0.47307, best fitness:  -0.43090
***Doing generation 19 of 40***
Generation average: -0.46830, best fitness:  -0.43090
***Doing generation 20 of 40***
Generation average: -0.46421, best fitness:  -0.42322
***Doing generation 21 of 40***
Generation average: -0.45863, best fitness:  -0.40603
***Doing generation 22 of 40***
Generation average: -0.45403, best fitness:  -0.40603
***Doing generation 23 of 40***
Generation average: -0.44870, best fitness:  -0.40306
***Doing generation 24 of 40***
Generation average: -0.44386, best fitness:  -0.38688
***Doing generation 25 of 40***
Generation average: -0.44031, best fitness:  -0.38688
***Doing generation 26 of 40***
Generation average: -0.43496, best fitness:  -0.38582
***Doing generation 27 of 40***
Generation average: -0.42839, best fitness:  -0.37431
***Doing generation 28 of 40***
Generation average: -0.42134, best fitness:  -0.36557
***Doing generation 29 of 40***
Generation average: -0.41350, best fitness:  -0.34268
***Doing generation 30 of 40***
Generation average: -0.40464, best fitness:  -0.34077
***Doing generation 31 of 40***
Generation average: -0.39405, best fitness:  -0.34077
***Doing generation 32 of 40***
Generation average: -0.38461, best fitness:  -0.33752
***Doing generation 33 of 40***
Generation average: -0.37445, best fitness:  -0.33158
***Doing generation 34 of 40***
Generation average: -0.36550, best fitness:  -0.32978
***Doing generation 35 of 40***
Generation average: -0.35800, best fitness:  -0.32978
***Doing generation 36 of 40***
Generation average: -0.35139, best fitness:  -0.32670
***Doing generation 37 of 40***
Generation average: -0.34605, best fitness:  -0.32660
***Doing generation 38 of 40***
Generation average: -0.34177, best fitness:  -0.32459
***Doing generation 39 of 40***
Generation average: -0.33815, best fitness:  -0.32027
***Doing generation 40 of 40***
Generation average: -0.33542, best fitness:  -0.31975
