Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 50***
Generation average: -0.92845, best fitness:  -0.87223
***Doing generation 2 of 50***
Generation average: -0.91878, best fitness:  -0.87223
***Doing generation 3 of 50***
Generation average: -0.91285, best fitness:  -0.87044
***Doing generation 4 of 50***
Generation average: -0.90704, best fitness:  -0.87044
***Doing generation 5 of 50***
Generation average: -0.90202, best fitness:  -0.86612
***Doing generation 6 of 50***
Generation average: -0.89803, best fitness:  -0.85291
***Doing generation 7 of 50***
Generation average: -0.89410, best fitness:  -0.85291
***Doing generation 8 of 50***
Generation average: -0.89068, best fitness:  -0.84483
***Doing generation 9 of 50***
Generation average: -0.88672, best fitness:  -0.84472
***Doing generation 10 of 50***
Generation average: -0.88212, best fitness:  -0.84003
***Doing generation 11 of 50***
Generation average: -0.87792, best fitness:  -0.83358
***Doing generation 12 of 50***
Generation average: -0.87471, best fitness:  -0.83358
***Doing generation 13 of 50***
Generation average: -0.87056, best fitness:  -0.82893
***Doing generation 14 of 50***
Generation average: -0.86832, best fitness:  -0.82721
***Doing generation 15 of 50***
Generation average: -0.86516, best fitness:  -0.82445
***Doing generation 16 of 50***
Generation average: -0.86264, best fitness:  -0.81041
***Doing generation 17 of 50***
Generation average: -0.85982, best fitness:  -0.80858
***Doing generation 18 of 50***
Generation average: -0.85643, best fitness:  -0.80858
***Doing generation 19 of 50***
Generation average: -0.85335, best fitness:  -0.80286
***Doing generation 20 of 50***
Generation average: -0.85121, best fitness:  -0.80286
***Doing generation 21 of 50***
Generation average: -0.84899, best fitness:  -0.80013
***Doing generation 22 of 50***
Generation average: -0.84664, best fitness:  -0.79590
***Doing generation 23 of 50***
Generation average: -0.84375, best fitness:  -0.79590
***Doing generation 24 of 50***
Generation average: -0.84176, best fitness:  -0.79590
***Doing generation 25 of 50***
Generation average: -0.83848, best fitness:  -0.79421
***Doing generation 26 of 50***
Generation average: -0.83649, best fitness:  -0.79421
***Doing generation 27 of 50***
Generation average: -0.83590, best fitness:  -0.79421
***Doing generation 28 of 50***
Generation average: -0.83197, best fitness:  -0.78830
***Doing generation 29 of 50***
Generation average: -0.83060, best fitness:  -0.78807
***Doing generation 30 of 50***
Generation average: -0.82772, best fitness:  -0.78807
***Doing generation 31 of 50***
Generation average: -0.82696, best fitness:  -0.78807
***Doing generation 32 of 50***
Generation average: -0.82493, best fitness:  -0.78644
***Doing generation 33 of 50***
Generation average: -0.82338, best fitness:  -0.78644
***Doing generation 34 of 50***
