Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 50***
Generation average: -0.79047, best fitness:  -0.64193
***Doing generation 2 of 50***
Generation average: -0.76708, best fitness:  -0.64193
***Doing generation 3 of 50***
Generation average: -0.74415, best fitness:  -0.63585
***Doing generation 4 of 50***
Generation average: -0.72521, best fitness:  -0.63520
***Doing generation 5 of 50***
Generation average: -0.70898, best fitness:  -0.62778
***Doing generation 6 of 50***
Generation average: -0.69332, best fitness:  -0.59415
***Doing generation 7 of 50***
Generation average: -0.67857, best fitness:  -0.59415
***Doing generation 8 of 50***
Generation average: -0.66228, best fitness:  -0.57562
***Doing generation 9 of 50***
Generation average: -0.64902, best fitness:  -0.57476
***Doing generation 10 of 50***
Generation average: -0.63494, best fitness:  -0.56643
***Doing generation 11 of 50***
Generation average: -0.62346, best fitness:  -0.55382
***Doing generation 12 of 50***
Generation average: -0.61198, best fitness:  -0.55382
***Doing generation 13 of 50***
Generation average: -0.59948, best fitness:  -0.52500
***Doing generation 14 of 50***
Generation average: -0.58633, best fitness:  -0.50313
***Doing generation 15 of 50***
Generation average: -0.57355, best fitness:  -0.50313
***Doing generation 16 of 50***
Generation average: -0.56233, best fitness:  -0.50025
***Doing generation 17 of 50***
Generation average: -0.55088, best fitness:  -0.48889
***Doing generation 18 of 50***
Generation average: -0.54066, best fitness:  -0.46848
***Doing generation 19 of 50***
Generation average: -0.53003, best fitness:  -0.45856
***Doing generation 20 of 50***
Generation average: -0.52049, best fitness:  -0.44721
***Doing generation 21 of 50***
Generation average: -0.50954, best fitness:  -0.44721
***Doing generation 22 of 50***
Generation average: -0.49806, best fitness:  -0.43609
***Doing generation 23 of 50***
Generation average: -0.48788, best fitness:  -0.42049
***Doing generation 24 of 50***
Generation average: -0.47713, best fitness:  -0.41123
***Doing generation 25 of 50***
Generation average: -0.46779, best fitness:  -0.40759
***Doing generation 26 of 50***
Generation average: -0.45784, best fitness:  -0.39107
***Doing generation 27 of 50***
Generation average: -0.44821, best fitness:  -0.38290
***Doing generation 28 of 50***
Generation average: -0.44040, best fitness:  -0.37987
***Doing generation 29 of 50***
Generation average: -0.42848, best fitness:  -0.36599
***Doing generation 30 of 50***
Generation average: -0.42004, best fitness:  -0.36216
***Doing generation 31 of 50***
Generation average: -0.41185, best fitness:  -0.35122
***Doing generation 32 of 50***
Generation average: -0.40234, best fitness:  -0.34869
***Doing generation 33 of 50***
Generation average: -0.39426, best fitness:  -0.34168
***Doing generation 34 of 50***
Generation average: -0.38632, best fitness:  -0.34056
***Doing generation 35 of 50***
Generation average: -0.37854, best fitness:  -0.32262
***Doing generation 36 of 50***
Generation average: -0.37128, best fitness:  -0.31567
***Doing generation 37 of 50***
Generation average: -0.36407, best fitness:  -0.31567
***Doing generation 38 of 50***
Generation average: -0.35621, best fitness:  -0.31567
***Doing generation 39 of 50***
Generation average: -0.34988, best fitness:  -0.31419
***Doing generation 40 of 50***
Generation average: -0.34300, best fitness:  -0.30898
***Doing generation 41 of 50***
Generation average: -0.33737, best fitness:  -0.30080
***Doing generation 42 of 50***
Generation average: -0.33129, best fitness:  -0.29839
***Doing generation 43 of 50***
Generation average: -0.32569, best fitness:  -0.28975
***Doing generation 44 of 50***
Generation average: -0.32053, best fitness:  -0.28645
***Doing generation 45 of 50***
Generation average: -0.31458, best fitness:  -0.28310
***Doing generation 46 of 50***
Generation average: -0.30911, best fitness:  -0.27571
***Doing generation 47 of 50***
Generation average: -0.30333, best fitness:  -0.26971
***Doing generation 48 of 50***
