Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 500***
Generation average: -0.91455, best fitness:  -0.91387
***Doing generation 2 of 500***
Generation average: -0.91437, best fitness:  -0.91387
***Doing generation 3 of 500***
Generation average: -0.91424, best fitness:  -0.91387
***Doing generation 4 of 500***
Generation average: -0.91411, best fitness:  -0.91371
***Doing generation 5 of 500***
Generation average: -0.91400, best fitness:  -0.91371
***Doing generation 6 of 500***
Generation average: -0.91388, best fitness:  -0.91358
***Doing generation 7 of 500***
Generation average: -0.91380, best fitness:  -0.91354
***Doing generation 8 of 500***
Generation average: -0.91370, best fitness:  -0.91345
***Doing generation 9 of 500***
Generation average: -0.91357, best fitness:  -0.91326
***Doing generation 10 of 500***
Generation average: -0.91349, best fitness:  -0.91326
***Doing generation 11 of 500***
Generation average: -0.91340, best fitness:  -0.91313
***Doing generation 12 of 500***
Generation average: -0.91334, best fitness:  -0.91313
***Doing generation 13 of 500***
Generation average: -0.91326, best fitness:  -0.91301
***Doing generation 14 of 500***
Generation average: -0.91319, best fitness:  -0.91295
***Doing generation 15 of 500***
Generation average: -0.91314, best fitness:  -0.91292
***Doing generation 16 of 500***
Generation average: -0.91308, best fitness:  -0.91285
***Doing generation 17 of 500***
Generation average: -0.91301, best fitness:  -0.91284
***Doing generation 18 of 500***
Generation average: -0.91296, best fitness:  -0.91275
***Doing generation 19 of 500***
Generation average: -0.91292, best fitness:  -0.91275
***Doing generation 20 of 500***
Generation average: -0.91288, best fitness:  -0.91268
***Doing generation 21 of 500***
Generation average: -0.91280, best fitness:  -0.91262
***Doing generation 22 of 500***
Generation average: -0.91275, best fitness:  -0.91246
***Doing generation 23 of 500***
Generation average: -0.91271, best fitness:  -0.91246
***Doing generation 24 of 500***
Generation average: -0.91265, best fitness:  -0.91242
***Doing generation 25 of 500***
Generation average: -0.91260, best fitness:  -0.91240
***Doing generation 26 of 500***
Generation average: -0.91252, best fitness:  -0.91231
***Doing generation 27 of 500***
Generation average: -0.91249, best fitness:  -0.91228
***Doing generation 28 of 500***
Generation average: -0.91245, best fitness:  -0.91223
***Doing generation 29 of 500***
Generation average: -0.91239, best fitness:  -0.91223
***Doing generation 30 of 500***
Generation average: -0.91234, best fitness:  -0.91221
***Doing generation 31 of 500***
Generation average: -0.91229, best fitness:  -0.91215
***Doing generation 32 of 500***
Generation average: -0.91226, best fitness:  -0.91213
***Doing generation 33 of 500***
Generation average: -0.91223, best fitness:  -0.91208
***Doing generation 34 of 500***
Generation average: -0.91220, best fitness:  -0.91208
***Doing generation 35 of 500***
Generation average: -0.91216, best fitness:  -0.91202
***Doing generation 36 of 500***
Generation average: -0.91213, best fitness:  -0.91197
***Doing generation 37 of 500***
Generation average: -0.91207, best fitness:  -0.91193
***Doing generation 38 of 500***
Generation average: -0.91201, best fitness:  -0.91187
***Doing generation 39 of 500***
Generation average: -0.91196, best fitness:  -0.91182
***Doing generation 40 of 500***
Generation average: -0.91191, best fitness:  -0.91181
***Doing generation 41 of 500***
Generation average: -0.91185, best fitness:  -0.91174
***Doing generation 42 of 500***
Generation average: -0.91182, best fitness:  -0.91169
***Doing generation 43 of 500***
Generation average: -0.91179, best fitness:  -0.91169
***Doing generation 44 of 500***
Generation average: -0.91174, best fitness:  -0.91166
***Doing generation 45 of 500***
Generation average: -0.91171, best fitness:  -0.91160
***Doing generation 46 of 500***
Generation average: -0.91168, best fitness:  -0.91157
***Doing generation 47 of 500***
Generation average: -0.91164, best fitness:  -0.91157
***Doing generation 48 of 500***
Generation average: -0.91161, best fitness:  -0.91153
***Doing generation 49 of 500***
Generation average: -0.91157, best fitness:  -0.91150
***Doing generation 50 of 500***
Generation average: -0.91155, best fitness:  -0.91147
***Doing generation 51 of 500***
Generation average: -0.91152, best fitness:  -0.91147
***Doing generation 52 of 500***
Generation average: -0.91151, best fitness:  -0.91145
***Doing generation 53 of 500***
Generation average: -0.91149, best fitness:  -0.91142
***Doing generation 54 of 500***
Generation average: -0.91147, best fitness:  -0.91142
***Doing generation 55 of 500***
Generation average: -0.91145, best fitness:  -0.91139
***Doing generation 56 of 500***
Generation average: -0.91143, best fitness:  -0.91138
***Doing generation 57 of 500***
Generation average: -0.91141, best fitness:  -0.91137
***Doing generation 58 of 500***
Generation average: -0.91139, best fitness:  -0.91134
***Doing generation 59 of 500***
Generation average: -0.91137, best fitness:  -0.91132
***Doing generation 60 of 500***
Generation average: -0.91137, best fitness:  -0.91132
***Doing generation 61 of 500***
Generation average: -0.91135, best fitness:  -0.91130
***Doing generation 62 of 500***
Generation average: -0.91134, best fitness:  -0.91129
***Doing generation 63 of 500***
Generation average: -0.91133, best fitness:  -0.91129
***Doing generation 64 of 500***
Generation average: -0.91132, best fitness:  -0.91128
***Doing generation 65 of 500***
Generation average: -0.91130, best fitness:  -0.91128
***Doing generation 66 of 500***
Generation average: -0.91130, best fitness:  -0.91127
***Doing generation 67 of 500***
Generation average: -0.91129, best fitness:  -0.91126
***Doing generation 68 of 500***
Generation average: -0.91128, best fitness:  -0.91125
***Doing generation 69 of 500***
Generation average: -0.91127, best fitness:  -0.91125
***Doing generation 70 of 500***
Generation average: -0.91127, best fitness:  -0.91125
***Doing generation 71 of 500***
Generation average: -0.91126, best fitness:  -0.91124
***Doing generation 72 of 500***
Generation average: -0.91126, best fitness:  -0.91124
***Doing generation 73 of 500***
Generation average: -0.91125, best fitness:  -0.91124
***Doing generation 74 of 500***
Generation average: -0.91124, best fitness:  -0.91123
***Doing generation 75 of 500***
Generation average: -0.91124, best fitness:  -0.91122
***Doing generation 76 of 500***
Generation average: -0.91123, best fitness:  -0.91122
***Doing generation 77 of 500***
Generation average: -0.91123, best fitness:  -0.91122
***Doing generation 78 of 500***
Generation average: -0.91123, best fitness:  -0.91122
***Doing generation 79 of 500***
Generation average: -0.91122, best fitness:  -0.91122
***Doing generation 80 of 500***
Generation average: -0.91122, best fitness:  -0.91121
***Doing generation 81 of 500***
Generation average: -0.91122, best fitness:  -0.91121
***Doing generation 82 of 500***
Generation average: -0.91122, best fitness:  -0.91121
***Doing generation 83 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 84 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 85 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 86 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 87 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 88 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 89 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 90 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 91 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 92 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 93 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 94 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 95 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 96 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 97 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 98 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 99 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 100 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 101 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 102 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 103 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 104 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 105 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 106 of 500***
